epoch,learning_rate,loss,step
0.04,2.0000000000000003e-06,0.7019,100
0.07,4.000000000000001e-06,0.6761,200
0.11,6e-06,0.6621,300
0.15,8.000000000000001e-06,0.5137,400
0.18,1e-05,0.4032,500
0.22,9.869195552648791e-06,0.4137,600
0.26,9.738391105297581e-06,0.3772,700
0.29,9.60758665794637e-06,0.3477,800
0.33,9.476782210595162e-06,0.3603,900
0.37,9.34597776324395e-06,0.3219,1000
0.41,9.21517331589274e-06,0.344,1100
0.44,9.084368868541531e-06,0.3108,1200
0.48,8.953564421190321e-06,0.3301,1300
0.52,8.822759973839112e-06,0.3238,1400
0.55,8.6919555264879e-06,0.2987,1500
0.59,8.561151079136692e-06,0.3237,1600
0.63,8.43034663178548e-06,0.2972,1700
0.66,8.299542184434271e-06,0.3049,1800
0.7,8.168737737083061e-06,0.3007,1900
0.74,8.037933289731851e-06,0.2675,2000
0.77,7.907128842380642e-06,0.3072,2100
0.81,7.776324395029432e-06,0.3282,2200
0.85,7.645519947678222e-06,0.3165,2300
0.88,7.5147155003270124e-06,0.295,2400
0.92,7.383911052975802e-06,0.2928,2500
0.96,7.253106605624591e-06,0.2616,2600
0.99,7.122302158273382e-06,0.3051,2700
1.03,6.991497710922172e-06,0.2837,2800
1.07,6.860693263570962e-06,0.2664,2900
1.1,6.7298888162197515e-06,0.2715,3000
1.14,6.599084368868543e-06,0.3014,3100
1.18,6.468279921517332e-06,0.2746,3200
1.22,6.337475474166122e-06,0.2706,3300
1.25,6.2066710268149126e-06,0.2638,3400
1.29,6.075866579463702e-06,0.2764,3500
1.33,5.945062132112492e-06,0.2828,3600
1.36,5.814257684761282e-06,0.2727,3700
1.4,5.683453237410073e-06,0.2701,3800
1.44,5.552648790058862e-06,0.2691,3900
1.47,5.4218443427076524e-06,0.2507,4000
1.51,5.291039895356443e-06,0.2567,4100
1.55,5.160235448005233e-06,0.2693,4200
1.58,5.029431000654022e-06,0.2628,4300
1.62,4.898626553302813e-06,0.2618,4400
1.66,4.767822105951603e-06,0.2331,4500
1.69,4.637017658600393e-06,0.2487,4600
1.73,4.506213211249183e-06,0.2717,4700
1.77,4.375408763897973e-06,0.2446,4800
1.8,4.244604316546763e-06,0.2524,4900
1.84,4.1137998691955525e-06,0.2683,5000
1.88,3.982995421844343e-06,0.2387,5100
1.92,3.852190974493133e-06,0.2681,5200
1.95,3.721386527141923e-06,0.2414,5300
1.99,3.590582079790713e-06,0.2842,5400
2.03,3.4597776324395034e-06,0.2326,5500
2.06,3.3289731850882933e-06,0.2331,5600
2.1,3.1981687377370835e-06,0.2481,5700
2.14,3.0673642903858734e-06,0.2345,5800
2.17,2.9365598430346637e-06,0.2357,5900
2.21,2.805755395683453e-06,0.2404,6000
2.25,2.6749509483322433e-06,0.2346,6100
2.28,2.5441465009810336e-06,0.2294,6200
2.32,2.4133420536298234e-06,0.2281,6300
2.36,2.2825376062786137e-06,0.2134,6400
2.39,2.1517331589274035e-06,0.2609,6500
2.43,2.020928711576194e-06,0.2232,6600
2.47,1.8901242642249836e-06,0.2324,6700
2.5,1.7593198168737737e-06,0.235,6800
2.54,1.628515369522564e-06,0.2257,6900
2.58,1.497710922171354e-06,0.2453,7000
2.62,1.366906474820144e-06,0.227,7100
2.65,1.2361020274689341e-06,0.2526,7200
2.69,1.105297580117724e-06,0.24,7300
2.73,9.744931327665142e-07,0.2283,7400
2.76,8.436886854153043e-07,0.2399,7500
2.8,7.128842380640942e-07,0.2326,7600
2.84,5.820797907128843e-07,0.2465,7700
2.87,4.5127534336167433e-07,0.2089,7800
2.91,3.204708960104644e-07,0.2574,7900
2.95,1.896664486592544e-07,0.2446,8000
2.98,5.886200130804448e-08,0.2637,8100
